epoch;modelOut;label;loss;running_avg
0.0;0.032;3.8346;14.4599;0.03
0.0;-0.1035;16.0168;259.8633;0.531
0.0;0.1966;1.3618;1.3577;0.003
0.0;0.4052;4.643;17.9593;0.035
0.0;0.4035;-0.6273;1.0626;0.002
0.0;0.685;-2.4394;9.7616;0.019
0.0;0.6283;-5.2336;34.3614;0.064
0.0;0.9895;-13.963;223.5799;0.406
0.0;0.7518;0.5461;0.0423;0.0
0.0;1.2407;3.5486;5.3264;0.009
0.0;0.8677;-11.9251;163.6541;0.282
0.0;1.0598;-2.2979;11.2738;0.019
0.0;3.8229;1.2315;6.7155;0.012
0.0;1.7821;-1.5712;11.2448;0.019
0.0;0.3829;0.5101;0.0162;0.0
0.0;0.2014;23.1468;526.4932;0.835
0.0;0.1707;-3.9355;16.8615;0.026
0.0;0.082;3.1301;9.2915;0.014
0.0;-0.0458;-14.8831;220.1455;0.333
0.0;-0.0635;-7.2551;51.719;0.079
0.0;-0.0917;-6.2304;37.6832;0.055
0.0;-0.0903;0.6793;0.5923;0.001
0.0;-0.0925;-13.302;174.4887;0.249
0.0;-0.0804;-2.3989;5.3755;0.008
0.0;-0.3063;-0.1027;0.0415;0.0
0.0;-0.1345;-7.7846;58.5238;0.08
0.0;-0.0795;-1.2212;1.3035;0.002
0.0;0.0764;17.6301;308.1336;0.41
0.0;0.0997;-24.3296;596.7897;0.784
0.0;0.0724;-2.3779;6.0038;0.008
0.0;0.0274;7.3238;53.2366;0.068
0.0;-0.1157;-2.3779;5.1172;0.007
0.0;-0.024;-12.7837;162.8105;0.203
0.0;-0.2311;4.4031;21.4756;0.027
0.0;-0.129;0.7778;0.8224;0.001
0.0;-0.0796;9.8518;98.6317;0.119
0.0;0.1167;12.8685;162.6094;0.193
0.0;0.0768;-2.5763;7.0389;0.008
0.0;0.1477;10.6998;111.3485;0.129
0.0;0.1555;-4.3257;20.0813;0.023
0.0;-0.1784;-5.8353;32.0006;0.036
0.0;-0.2953;9.3048;92.1623;0.103
0.0;-0.2103;4.6604;23.7234;0.026
0.0;-0.2825;-0.2903;0.0001;0.0
0.0;-0.0542;1.47;2.3234;0.003
0.0;-0.0442;-7.9917;63.1636;0.068
0.0;-0.2785;5.4852;33.2203;0.035
0.0;-0.5185;-2.557;4.1553;0.004
0.0;-0.3464;-19.1648;354.1329;0.369
0.0;-0.1485;-4.1261;15.8214;0.016
0.0;-0.089;-0.4201;0.1097;0.0
0.0;-0.1821;-15.9629;249.0322;0.251
0.0;-0.1258;2.1027;4.9659;0.005
0.0;-0.8785;8.9938;97.4632;0.096
0.0;-0.0771;3.1039;10.1186;0.01
0.0;-0.0907;0.6767;0.5889;0.001
0.0;-0.0368;10.4546;110.0679;0.106
0.0;-0.0827;13.2262;177.1268;0.169
0.0;-0.08;5.214;28.0266;0.026
0.0;-0.0409;-1.7357;2.8721;0.003
0.0;-0.0609;4.5325;21.099;0.02
0.0;0.0297;-4.6441;21.8451;0.02
0.0;-0.0572;16.0772;260.3209;0.236
0.0;-0.0004;-5.8273;33.953;0.031
0.0;0.0647;9.4595;88.2623;0.079
0.0;0.0744;7.2801;51.9227;0.046
0.0;0.0316;-2.8191;8.1265;0.007
0.0;0.0174;-8.84;78.4536;0.068
0.0;0.0948;0.137;0.0018;0.0
0.0;0.0253;3.1755;9.924;0.008
0.0;-0.0625;0.7908;0.7281;0.001
0.0;-0.0916;0.2456;0.1137;0.0
0.0;-0.1146;-1.2934;1.3895;0.001
0.0;-0.0693;7.6075;58.9327;0.049
0.0;-0.1077;0.3408;0.2012;0.0
0.0;-0.1451;-11.4325;127.4052;0.104
0.0;-0.1192;4.7333;23.5467;0.019
0.0;-0.1221;2.7188;8.0706;0.007
0.0;-0.0985;1.2612;1.8489;0.002
0.0;-0.0484;-0.5823;0.285;0.0
0.0;-0.0786;0.6963;0.6006;0.0
0.0;0.0986;-15.0778;230.3239;0.179
0.0;0.2734;1.3608;1.1823;0.001
0.0;0.2784;-9.2864;91.4861;0.07
0.0;0.2037;-5.2436;29.6735;0.022
0.0;-0.1822;-11.8517;136.1777;0.102
0.0;-0.687;-5.8353;26.505;0.02
0.0;-0.1592;-4.6224;19.9203;0.015
0.0;-0.2829;6.0427;40.0134;0.029
0.0;-0.2346;4.7182;24.53;0.018
0.0;-0.0805;-0.328;0.0613;0.0
0.0;0.0253;6.8395;46.4327;0.033
0.0;0.0571;-14.6378;215.9397;0.154
0.0;0.0919;24.3597;588.9271;0.417
0.0;0.273;11.7998;132.8665;0.094
0.0;0.6598;-0.6894;1.8203;0.001
0.0;0.6434;2.8385;4.8185;0.003
0.0;0.5003;-14.6378;229.1628;0.158
0.0;0.121;7.5593;55.3278;0.038
0.0;0.0225;3.4289;11.6033;0.008
0.0;0.0062;-6.1229;37.5662;0.025
0.0;0.0001;14.8832;221.5082;0.149
0.0;0.043;-3.8489;15.1468;0.01
0.0;-0.0086;-3.5063;12.2342;0.008
0.0;-0.0419;10.9053;119.8406;0.079
0.0;0.0146;-9.1778;84.4989;0.055
0.0;0.4843;-17.9039;338.1269;0.219
0.0;0.943;2.3749;2.0505;0.001
0.0;0.8148;-4.8494;32.0832;0.021
0.0;0.0727;-0.1305;0.0413;0.0
0.0;0.0789;12.922;164.9433;0.104
0.0;0.6504;-8.7245;87.8889;0.055
0.0;0.9547;6.5508;31.3163;0.02
0.0;0.3873;1.1256;0.545;0.0
0.0;0.1365;10.3035;103.3681;0.064
0.0;0.2054;9.12;79.4695;0.049
0.0;0.0966;5.5282;29.5026;0.018
0.0;0.024;29.2836;856.1214;0.519
0.0;0.0065;10.5958;112.1322;0.068
0.0;0.0165;1.2759;1.586;0.001
0.0;0.0169;-25.7336;663.0888;0.394
0.0;0.0377;-22.2374;496.1809;0.293
0.0;0.0311;0.4727;0.195;0.0
0.0;0.1096;-1.8034;3.6597;0.002
0.0;0.0673;3.0028;8.6168;0.005
0.0;0.0594;-2.5106;6.6052;0.004
0.0;0.0428;1.2604;1.4825;0.001
0.0;0.0537;-2.2481;5.2984;0.003
0.0;0.0366;-0.9057;0.8881;0.001
0.0;0.018;2.7167;7.283;0.004
0.0;0.0148;0.6309;0.3796;0.0
0.0;0.0133;17.1767;294.5811;0.164
0.0;0.0284;2.731;7.3038;0.004
0.0;0.0328;-0.3089;0.1168;0.0
0.0;0.0253;3.421;11.5305;0.006
0.0;0.0148;3.3328;11.0088;0.006
0.0;0.0014;1.2681;1.6045;0.001
0.0;-0.0061;-3.0457;9.2389;0.005
0.0;-0.0046;2.3771;5.6728;0.003
0.0;0.031;-16.0685;259.1926;0.139
0.0;0.0379;3.4255;11.4759;0.006
0.0;0.0576;-19.1202;367.7865;0.194
0.0;0.0231;-1.1287;1.3265;0.001
0.0;0.0172;3.0872;9.4249;0.005
0.0;0.0486;15.3567;234.338;0.122
0.0;0.068;-16.9939;291.1059;0.151
0.0;0.0592;4.3805;18.6735;0.01
0.0;0.0192;-5.3943;29.3062;0.015
0.0;0.0185;4.0053;15.8946;0.008
0.0;0.0175;-2.2979;5.361;0.003
0.0;0.0128;5.5987;31.2017;0.016
0.0;0.0187;-5.9534;35.6661;0.018
0.0;0.0223;-16.2334;264.2477;0.132
0.0;-0.0073;0.0;0.0001;0.0
0.0;-0.0095;0.9446;0.9104;0.0
0.0;0.0162;7.6895;58.8805;0.029
0.0;0.0369;5.7922;33.123;0.016
0.0;0.0504;-6.3142;40.5088;0.02
0.0;0.0454;2.8631;7.9397;0.004
0.0;0.0454;0.6456;0.3603;0.0
0.0;0.0702;-7.621;59.1541;0.028
0.0;0.0742;-4.9431;25.1737;0.012
0.0;0.06;-15.6285;246.1301;0.117
0.0;0.0285;4.9455;24.1766;0.011
0.0;0.0084;-1.6402;2.7177;0.001
0.0;-0.0035;-1.0638;1.1242;0.001
0.0;-0.0036;4.0941;16.7912;0.008
0.0;-0.0006;-7.5701;57.2984;0.027
0.0;-0.0033;-18.2139;331.6256;0.153
0.0;-0.0014;12.2145;149.2266;0.069
0.0;-0.0003;-2.7728;7.6867;0.004
0.0;0.0543;2.8792;7.9797;0.004
0.0;0.1013;-5.1074;27.1311;0.012
0.0;0.1117;7.3208;51.972;0.024
0.0;0.1326;7.1709;49.5376;0.022
0.0;0.1574;-5.4295;31.2132;0.014
0.0;0.1105;18.3341;332.1021;0.148
0.0;0.1279;3.2754;9.907;0.004
0.0;0.1015;-0.6919;0.6296;0.0
0.0;0.0876;-4.7935;23.8256;0.01
0.0;0.0656;-0.1264;0.0369;0.0
0.0;0.0439;-5.3943;29.5738;0.013
0.0;0.0632;2.4145;5.5286;0.002
0.0;0.0925;9.6633;91.5993;0.04
0.0;0.1005;8.1023;64.029;0.028
0.0;0.0999;-22.0484;490.5453;0.211
0.0;0.1284;-15.9285;257.8245;0.11
0.0;0.1445;-9.1843;87.0266;0.037
0.0;0.1697;-5.3521;30.4903;0.013
0.0;0.1653;10.7566;112.1753;0.047
0.0;0.2004;5.4845;27.9214;0.012
0.0;0.3247;4.1144;14.3619;0.006
0.0;0.4801;6.8618;40.7259;0.017
0.0;0.3973;7.2874;47.473;0.02
0.0;0.4846;3.3402;8.1541;0.003
0.0;0.593;0.6767;0.007;0.0
0.0;0.4866;2.5035;4.0678;0.002
0.0;0.4902;-0.8788;1.8744;0.001
0.0;0.2285;7.1757;48.2635;0.02
0.0;0.1764;-16.5892;281.0857;0.114
0.0;0.1431;-0.2427;0.1488;0.0
0.0;0.1297;-5.935;36.7803;0.015
0.0;0.153;1.1449;0.9838;0.001
0.0;0.3051;-5.4887;33.5682;0.013
0.0;0.7058;-4.3973;26.0418;0.01
0.0;-0.1455;2.7501;8.3843;0.003
0.0;-0.2108;8.6373;78.2892;0.031
0.0;2.8634;-9.4878;152.5529;0.06
0.0;1.6977;1.0781;0.3839;0.0
0.0;4.7788;-2.9321;59.4577;0.023
0.0;-0.5963;-0.5677;0.0008;0.0
0.0;0.2021;10.3834;103.6593;0.04
0.0;0.2219;-5.9238;37.7698;0.015
0.0;0.265;10.9394;113.9432;0.044
0.0;0.2986;3.2653;8.8014;0.003
0.0;0.2742;-22.0484;498.2956;0.189
0.0;0.2614;22.8969;512.3648;0.194
0.0;0.3495;16.0015;244.9868;0.092
0.0;0.3714;1.9007;2.3389;0.001
0.0;0.4122;7.7942;54.4949;0.02
0.0;1.6476;-15.9285;308.9197;0.115
0.0;0.8209;-0.3803;1.4428;0.001
0.0;1.4208;-9.4928;119.1069;0.044
0.0;0.4116;5.5378;26.2775;0.01
0.0;0.3832;-20.2851;427.1802;0.157
0.0;0.3517;-0.0624;0.1715;0.0
0.0;0.3738;-1.0561;2.0446;0.001
0.0;0.3808;14.4009;196.5629;0.071
0.0;0.3861;11.6244;126.2977;0.046
0.0;0.3808;14.2494;192.3391;0.069
0.0;0.3809;3.4806;9.608;0.003
0.0;0.3646;-3.2516;13.0767;0.005
0.0;0.3365;1.9001;2.4448;0.001
0.0;0.2978;-3.8395;17.1178;0.006
0.0;0.2751;-7.7924;65.0834;0.023
0.0;0.2557;-1.3151;2.4672;0.001
0.0;0.247;-1.272;2.3076;0.001
0.0;0.2319;-12.7025;167.2984;0.059
0.0;0.243;-4.7217;24.649;0.009
0.0;0.2377;-1.7991;4.1487;0.001
0.0;0.2115;4.5613;18.92;0.007
0.0;0.2075;7.1615;48.3589;0.017
0.0;0.2045;8.1068;62.4468;0.022
0.0;0.1869;-20.4045;424.0051;0.146
0.0;0.1628;10.3035;102.8343;0.035
0.0;0.1464;-10.878;121.5366;0.041
0.0;0.1272;-17.8751;324.0848;0.11
0.0;0.0934;-9.984;101.5551;0.034
0.0;0.0842;0.9365;0.7264;0.0
0.0;0.0802;-2.8098;8.3523;0.003
0.0;0.099;-5.7596;34.3232;0.012
0.0;0.1041;2.2705;4.6931;0.002
0.0;0.1152;-13.8218;194.2392;0.065
0.0;0.1421;9.9098;95.4071;0.032
0.0;0.1762;-3.3353;12.3311;0.004
0.0;0.2006;-1.8933;4.3845;0.001
0.0;0.2119;-15.8403;257.6739;0.085
0.0;0.2017;-5.1582;28.7287;0.009
0.0;0.2123;13.3041;171.3949;0.056
0.0;0.229;-2.0893;5.3748;0.002
0.0;0.2331;-14.8409;227.2269;0.074
0.0;0.2271;0.1309;0.0093;0.0
0.0;0.1849;-0.2662;0.2035;0.0
0.0;0.1526;19.7547;384.2417;0.124
0.0;0.1446;-2.9955;9.8601;0.003
0.0;0.1372;11.956;139.6843;0.045
0.0;0.1553;8.7089;73.1636;0.023
0.0;0.1854;4.486;18.4955;0.006
0.0;0.2102;-7.3155;56.6357;0.018
0.0;0.2505;-0.5263;0.6034;0.0
0.0;0.2778;-13.5641;191.5977;0.06
0.0;0.2762;14.6303;206.0402;0.065
0.0;0.2921;5.5282;27.4173;0.009
0.0;0.3278;-7.9766;68.9643;0.021
0.0;0.3562;-6.3142;44.4941;0.014
0.0;0.3907;6.4254;36.4166;0.011
0.0;0.4022;5.3084;24.0713;0.007
0.0;0.4012;-2.1734;6.6287;0.002
0.0;0.3961;7.2815;47.4096;0.015
0.0;0.4219;-20.9314;455.9647;0.139
0.0;0.4384;3.1745;7.4859;0.002
0.0;0.4388;-0.529;0.9365;0.0
0.0;0.4487;2.4537;4.02;0.001
0.0;0.4622;10.1082;93.0455;0.028
0.0;0.4738;-0.9891;2.14;0.001
0.0;0.4734;12.5996;147.0447;0.044
0.0;0.4992;-6.625;50.754;0.015
0.0;0.5328;25.4061;618.6848;0.185
0.0;0.5651;-12.3434;166.6308;0.05
0.0;0.5543;-4.1906;22.5136;0.007
0.0;0.5513;-0.1974;0.5606;0.0
0.0;0.5217;0.4548;0.0045;0.0
0.0;0.4853;-2.3221;7.8814;0.002
0.0;0.4364;-11.3973;140.0367;0.041
0.0;0.4118;1.5677;1.3362;0.0
0.0;0.4036;-16.6535;290.946;0.085
0.0;0.3836;-3.7685;17.2401;0.005
0.0;0.352;-0.1465;0.2484;0.0
0.0;0.3572;-2.1759;6.4166;0.002
0.0;0.3598;-12.3382;161.2382;0.046
0.0;0.3575;0.334;0.0006;0.0
0.0;0.3736;0.1309;0.0589;0.0
0.0;0.389;-4.2208;21.2508;0.006
0.0;0.4067;-1.947;5.5399;0.002
0.0;0.4152;7.4841;49.9696;0.014
0.0;0.4284;-21.1574;465.9464;0.132
0.0;0.4362;14.0561;185.5018;0.052
0.0;0.4395;3.2088;7.6686;0.002
0.0;0.4128;4.324;15.2972;0.004
0.0;0.4122;-10.9481;129.057;0.036
0.0;0.403;5.1142;22.1955;0.006
0.0;0.3973;0.4548;0.0033;0.0
0.0;0.386;-13.211;184.8774;0.051
0.0;0.367;31.6099;976.1166;0.27
0.0;0.3711;5.9489;31.1119;0.009
0.0;0.3781;-18.8275;368.8546;0.102
0.0;0.3535;-9.0748;88.8927;0.024
0.0;0.3346;1.269;0.873;0.0
0.0;0.3264;-8.3323;74.9737;0.02
0.0;0.3201;-6.7429;49.8854;0.014
0.0;0.3298;5.6585;28.3948;0.008
0.0;0.3253;7.2548;48.0181;0.013
0.0;0.3585;-6.917;52.9336;0.014
0.0;0.3846;1.3618;0.9547;0.0
0.0;0.3925;-11.026;130.3831;0.035
0.0;0.3995;12.2457;140.3343;0.038
0.0;0.417;0.5167;0.0099;0.0
0.0;0.4297;4.3602;15.4493;0.004
0.0;0.4298;12.5502;146.9041;0.039
0.0;0.4451;-1.4167;3.4664;0.001
0.0;0.4549;44.2796;1920.606;0.508
0.0;0.512;-4.6618;26.7684;0.007
0.0;0.5405;-18.8159;374.67;0.099
0.0;0.5401;2.0347;2.2337;0.001
0.0;0.5461;0.1751;0.1377;0.0
0.0;0.5479;-18.8159;374.957;0.098
0.0;0.539;0.547;0.0001;0.0
0.0;0.5574;-9.1832;94.8795;0.025
0.0;0.5648;7.6291;49.9041;0.013
0.0;0.5593;-0.0437;0.3636;0.0
0.0;0.5312;-3.6565;17.5366;0.005
0.0;0.5218;27.0264;702.4943;0.181
0.0;0.5354;16.8303;265.5242;0.068
0.0;0.5451;9.1255;73.6235;0.019
0.0;0.5612;5.214;21.649;0.006
0.0;0.5804;-10.4914;122.5848;0.031
0.0;0.6058;-1.5988;4.8599;0.001
0.0;0.6247;13.7989;173.5596;0.044
0.0;0.6649;10.6998;100.7003;0.025
0.0;0.6745;3.4743;7.8387;0.002
0.0;0.6909;-13.6873;206.7346;0.052
0.0;0.687;-1.6402;5.4159;0.001
0.0;0.6596;-1.8429;6.2622;0.002
0.0;0.6236;-3.0752;13.6808;0.003
0.0;0.6211;2.3916;3.1345;0.001
0.0;0.6412;7.6091;48.5518;0.012
0.0;0.6633;9.4629;77.4334;0.019
0.0;0.636;6.3665;32.8392;0.008
0.0;0.6283;9.6154;80.7666;0.02
0.0;0.6091;-7.7846;70.4541;0.017
0.0;0.5727;13.6484;170.9719;0.042
0.0;0.5871;-2.3427;8.5836;0.002
0.0;0.5724;-2.5289;9.6177;0.002
0.0;0.5704;20.3624;391.723;0.095
0.0;0.5855;-0.3164;0.8133;0.0
0.0;0.568;-10.4223;120.7869;0.029
0.0;0.5564;13.1666;159.0171;0.038
0.0;0.546;6.4087;34.3713;0.008
0.0;0.566;-3.5841;17.2239;0.004
0.0;0.6071;4.324;13.8153;0.003
0.0;0.6347;7.3613;45.2477;0.011
0.0;0.6721;-10.5599;126.1576;0.03
0.0;0.6861;-1.2157;3.6168;0.001
0.0;0.6869;-7.0391;59.6917;0.014
0.0;0.6898;1.6693;0.9594;0.0
0.0;0.7018;8.65;63.1727;0.015
0.0;0.7259;-3.3353;16.4937;0.004
0.0;0.721;-1.8649;6.6873;0.002
0.0;0.7015;-16.1052;282.4666;0.066
0.0;0.6902;4.1876;12.2315;0.003
0.0;0.6982;-3.38;16.6321;0.004
0.0;0.6946;0.6075;0.0076;0.0
0.0;0.6783;29.2836;818.2635;0.19
0.0;0.692;-6.5361;52.2454;0.012
0.0;0.6828;4.7182;16.2844;0.004
0.0;0.692;-0.9005;2.536;0.001
0.0;0.6744;1.7745;1.2103;0.0
0.0;0.65;-4.5528;27.0696;0.006
0.0;0.6378;-0.7598;1.9532;0.0
0.0;0.6353;5.7355;26.0117;0.006
0.0;0.6667;-9.0748;94.8977;0.022
0.0;0.6727;6.7736;37.2213;0.008
0.0;0.6791;-5.4887;38.0427;0.009
0.0;0.6851;-9.5481;104.7182;0.024
0.0;0.6834;1.1928;0.2595;0.0
0.0;0.717;4.5775;14.9034;0.003
0.0;0.71;7.6625;48.3361;0.011
0.0;0.7015;2.2543;2.4112;0.001
0.0;0.7042;13.622;166.8683;0.037
0.0;0.7025;7.2333;42.6514;0.01
0.0;0.6908;-14.8831;242.5472;0.054
0.0;0.6555;4.7737;16.9589;0.004
0.0;0.6545;5.2437;21.0604;0.005
0.0;0.6498;-0.3006;0.9033;0.0
0.0;0.6352;4.2722;13.2277;0.003
0.0;0.6234;-0.8022;2.0324;0.0
0.0;0.621;-16.9932;310.2608;0.068
0.0;0.6021;11.8829;127.2548;0.028
0.0;0.6083;-1.0644;2.7979;0.001
0.0;0.6039;7.5593;48.3776;0.011
0.0;0.5916;-1.7009;5.2554;0.001
0.0;0.6077;-7.2343;61.4969;0.013
0.0;0.5925;2.1852;2.5369;0.001
0.0;0.593;12.1453;133.4544;0.029
0.0;0.5557;-19.0361;383.8393;0.083
0.0;0.5392;-1.624;4.6791;0.001
0.0;0.5563;-11.8913;154.9434;0.033
0.0;0.5459;26.2339;659.8704;0.142
0.0;0.5627;-4.2612;23.2702;0.005
0.0;0.5688;-2.501;9.4239;0.002
0.0;0.5658;-28.3612;836.77;0.179
0.0;0.5619;9.0218;71.5691;0.015
0.0;0.5898;-5.1935;33.4463;0.007
0.0;0.6214;0.1902;0.186;0.0
0.0;0.6303;-1.5432;4.7237;0.001
0.0;0.6458;4.4995;14.8515;0.003
0.0;0.6473;-5.4126;36.7218;0.008
0.0;0.6465;1.2931;0.4181;0.0
0.0;0.6598;10.4783;96.4026;0.02
0.0;0.6951;-7.0718;60.3247;0.013
0.0;0.6987;1.2306;0.2829;0.0
0.0;0.6866;-12.7784;181.3055;0.038
0.0;0.7046;-8.5867;86.3278;0.018
0.0;0.6948;-3.8559;20.7087;0.004
0.0;0.6895;-2.4572;9.9014;0.002
0.0;0.6931;3.8134;9.7362;0.002
0.0;0.6997;0.0;0.4896;0.0
0.0;0.7161;0.8018;0.0073;0.0
0.0;0.7425;6.4409;32.4715;0.007
0.0;0.768;0.2576;0.2605;0.0
0.0;0.7945;-6.4472;52.4422;0.011
0.0;0.8166;-21.451;495.8446;0.101
0.0;0.81;10.8846;101.4969;0.021
0.0;0.7991;-16.5892;302.354;0.062
0.0;0.7698;3.9121;9.8743;0.002
0.0;0.7562;-12.1919;167.655;0.034
0.0;0.7291;0.5222;0.0428;0.0
0.0;0.7253;-12.1998;167.0589;0.034
0.0;0.7127;25.1684;598.0816;0.121
0.0;0.7399;-2.9906;13.9171;0.003
0.0;0.773;5.869;25.9691;0.005
0.0;0.7976;-19.3747;406.92;0.082
0.0;0.8127;-3.9355;22.5462;0.005
0.0;0.8089;-5.8822;44.7701;0.009
0.0;0.8012;-3.8791;21.9055;0.004
0.0;0.8031;-1.3326;4.5612;0.001
0.0;0.8031;0.0304;0.597;0.0
0.0;0.7714;-7.8663;74.6104;0.015
0.0;0.7615;0.8418;0.0064;0.0
0.0;0.7799;11.8238;121.9683;0.024
0.0;0.8252;11.5237;114.4578;0.023
0.0;0.8676;54.193;2843.5996;0.559
0.0;0.9209;0.9197;0.0;0.0
0.0;0.9271;-0.3606;1.6582;0.0
0.0;0.9444;5.6849;22.4717;0.004
0.0;0.9751;-1.5348;6.2997;0.001
0.0;0.9681;-8.7377;94.2013;0.018
0.0;0.9178;-15.9285;283.7996;0.055
0.0;0.8823;-1.2934;4.7337;0.001
0.0;0.8371;-13.5226;206.2013;0.04
0.0;0.7957;-5.6333;41.3318;0.008
0.0;0.7712;8.4214;58.525;0.011
0.0;0.7594;23.2819;507.2633;0.098
0.0;0.7379;9.352;74.2032;0.014
0.0;0.7432;-5.5734;39.8988;0.008
0.0;0.7343;-18.7621;380.1104;0.073
0.0;0.6962;-11.8913;158.447;0.03
0.0;0.6692;-8.9203;91.9593;0.018
0.0;0.66;15.1555;210.1206;0.04
0.0;0.6517;7.0096;40.4221;0.008
0.0;0.6216;28.9166;800.6036;0.152
0.0;0.6282;-4.2922;24.2106;0.005
0.0;0.656;1.6958;1.0812;0.0
0.0;0.6821;3.6068;8.5537;0.002
0.0;0.6985;1.5897;0.7943;0.0
0.0;0.705;4.2722;12.7248;0.002
0.0;0.7087;-3.6536;19.0299;0.004
0.0;0.7042;-0.6338;1.7902;0.0
0.0;0.6913;10.24;91.1773;0.017
0.0;0.6785;-4.0882;22.7209;0.004
0.0;0.6831;-3.9859;21.7993;0.004
0.0;0.6452;5.1085;19.9207;0.004
0.0;0.6096;-9.2864;97.9307;0.018
0.0;0.5865;4.2224;13.2191;0.002
0.0;0.5827;5.3038;22.2885;0.004
0.0;0.5752;10.5958;100.411;0.018
0.0;0.5845;4.0395;11.9375;0.002
0.0;0.5959;0.9295;0.1113;0.0
0.0;0.6047;1.5677;0.9274;0.0
0.0;0.6246;1.3092;0.4688;0.0
0.0;0.6346;-2.8191;11.9278;0.002
0.0;0.6401;-4.1906;23.3357;0.004
0.0;0.6461;8.1069;55.6637;0.01
0.0;0.631;6.1038;29.952;0.005
0.0;0.6243;-12.4925;172.0513;0.031
0.0;0.6194;-0.298;0.8416;0.0
0.0;0.6329;-18.7209;374.5677;0.068
0.0;0.6584;3.6557;8.9835;0.002
0.0;0.6822;3.0192;5.4614;0.001
0.0;0.7261;-1.8429;6.5999;0.001
0.0;0.7789;5.2301;19.8137;0.004
0.0;0.8206;-5.9653;46.0482;0.008
0.0;0.8414;-6.9579;60.8288;0.011
0.0;0.8192;1.0832;0.0697;0.0
0.0;0.798;-7.2148;64.2049;0.011
0.0;0.7762;3.5604;7.7519;0.001
0.0;0.7776;0.0327;0.5549;0.0
0.0;0.7803;2.3771;2.5498;0.0
0.0;0.7825;-5.4436;38.7642;0.007
0.0;0.7918;-3.0536;14.7864;0.003
0.0;0.8079;-14.2557;226.9103;0.04
0.0;0.7782;0.0766;0.4922;0.0
0.0;0.7396;0.547;0.0371;0.0
0.0;0.7376;5.1188;19.1947;0.003
0.0;0.7535;26.8465;680.844;0.119
0.0;0.7951;1.9532;1.3413;0.0
0.0;0.7988;2.2119;1.9968;0.0
0.0;0.7825;-1.7016;6.1708;0.001
0.0;0.7745;0.5694;0.0421;0.0
0.0;0.7766;-1.9289;7.3199;0.001
0.0;0.7923;1.5123;0.5184;0.0
0.0;0.7737;-3.0549;14.6582;0.003
0.0;0.7607;-7.8387;73.9482;0.013
0.0;0.7856;-2.3174;9.6291;0.002
0.0;0.8078;-2.28;9.5351;0.002
0.0;0.821;3.1896;5.6104;0.001
0.0;0.8212;-3.7362;20.7699;0.004
0.0;0.8266;1.443;0.38;0.0
0.0;0.8184;-2.9834;14.4537;0.002
0.0;0.7981;-5.1276;35.1136;0.006
0.0;0.8089;-3.2572;16.5333;0.003
0.0;0.7945;-13.5739;206.4505;0.035
0.0;0.7704;2.5718;3.245;0.001
0.0;0.7618;12.0366;127.121;0.022
0.0;0.7562;-9.1843;98.8135;0.017
0.0;0.7408;20.133;376.0588;0.063
0.0;0.7445;-1.9259;7.1306;0.001
0.0;0.7376;-10.9481;136.5566;0.023
0.0;0.725;-1.7971;6.3611;0.001
